x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.161362,-0.089828,-1.038605,1.054896,252070.830098,2001-01-03 20:01:10.830 -0200
-0.098389,-0.096436,-1.041733,1.050803,252070.800663,2001-01-03 20:01:10.801 -0200
-0.023315,-0.073410,-1.116989,1.119642,252070.771222,2001-01-03 20:01:10.771 -0200
0.149277,-0.085281,-1.280502,1.291992,252070.741785,2001-01-03 20:01:10.742 -0200
0.223160,-0.106720,-1.305023,1.328260,252070.712346,2001-01-03 20:01:10.712 -0200
0.112518,-0.129776,-1.129883,1.142864,252070.682904,2001-01-03 20:01:10.683 -0200
0.031006,-0.167267,-1.023300,1.037344,252070.653460,2001-01-03 20:01:10.653 -0200
0.052170,-0.127396,-1.081253,1.089981,252070.623992,2001-01-03 20:01:10.624 -0200
0.080826,-0.110138,-1.045212,1.054102,252070.594582,2001-01-03 20:01:10.595 -0200
0.066605,-0.098206,-0.977844,0.985018,252070.565141,2001-01-03 20:01:10.565 -0200
0.074234,-0.066223,-0.914993,0.920385,252070.535701,2001-01-03 20:01:10.536 -0200
0.125931,-0.099640,-0.885101,0.899550,252070.506219,2001-01-03 20:01:10.506 -0200
0.132187,-0.119415,-0.824387,0.843414,252070.476780,2001-01-03 20:01:10.477 -0200
0.144928,-0.082687,-0.759247,0.777365,252070.447342,2001-01-03 20:01:10.447 -0200
0.183792,-0.098282,-0.763657,0.791587,252070.417902,2001-01-03 20:01:10.418 -0200
0.190384,-0.120010,-0.771606,0.803757,252070.388464,2001-01-03 20:01:10.388 -0200
0.162964,-0.062958,-0.745377,0.765576,252070.359027,2001-01-03 20:01:10.359 -0200
0.187668,-0.010208,-0.818787,0.840080,252070.329589,2001-01-03 20:01:10.330 -0200
0.217606,0.002060,-1.016953,1.039975,252070.300144,2001-01-03 20:01:10.300 -0200
0.186050,-0.046860,-1.120880,1.137182,252070.270711,2001-01-03 20:01:10.271 -0200
0.081497,-0.052017,-1.030960,1.035484,252070.241273,2001-01-03 20:01:10.241 -0200
0.101501,-0.132553,-0.943680,0.958334,252070.211832,2001-01-03 20:01:10.212 -0200
0.145859,-0.187805,-0.965714,0.994559,252070.182391,2001-01-03 20:01:10.182 -0200
0.155136,-0.111252,-1.045715,1.062998,252070.152949,2001-01-03 20:01:10.153 -0200
0.204391,-0.000366,-1.206375,1.223567,252070.123478,2001-01-03 20:01:10.123 -0200
0.297089,0.007828,-1.423141,1.453841,252070.094060,2001-01-03 20:01:10.094 -0200
0.215530,-0.066513,-1.370041,1.388485,252070.064615,2001-01-03 20:01:10.065 -0200
0.132965,-0.251892,-1.110611,1.146554,252070.035176,2001-01-03 20:01:10.035 -0200
0.161774,-0.310349,-0.993713,1.053543,252070.005735,2001-01-03 20:01:10.006 -0200
0.226547,-0.209076,-1.017197,1.062885,252069.976294,2001-01-03 20:01:09.976 -0200
0.248138,-0.219940,-0.995728,1.049485,252069.946842,2001-01-03 20:01:09.947 -0200
0.188293,-0.256927,-0.896820,0.951710,252069.917414,2001-01-03 20:01:09.917 -0200
0.151031,-0.202209,-0.829239,0.866797,252069.887974,2001-01-03 20:01:09.888 -0200
0.159958,-0.184738,-0.861404,0.895395,252069.858531,2001-01-03 20:01:09.859 -0200
0.112457,-0.182465,-0.892914,0.918278,252069.829090,2001-01-03 20:01:09.829 -0200
0.039963,-0.186661,-0.838257,0.859717,252069.799646,2001-01-03 20:01:09.800 -0200
0.031738,-0.166977,-0.807175,0.824875,252069.770202,2001-01-03 20:01:09.770 -0200
0.024414,-0.126678,-0.907013,0.916142,252069.740762,2001-01-03 20:01:09.741 -0200
-0.021042,-0.123367,-0.996857,1.004682,252069.711320,2001-01-03 20:01:09.711 -0200
-0.120712,-0.123535,-0.953766,0.969279,252069.681879,2001-01-03 20:01:09.682 -0200
-0.160461,-0.166351,-0.912964,0.941766,252069.652438,2001-01-03 20:01:09.652 -0200
-0.130768,-0.221802,-0.930496,0.965463,252069.623000,2001-01-03 20:01:09.623 -0200
-0.092453,-0.123657,-1.032013,1.043499,252069.593562,2001-01-03 20:01:09.594 -0200
0.084274,0.035934,-1.215530,1.218978,252069.564124,2001-01-03 20:01:09.564 -0200
0.303070,0.014999,-1.363770,1.397120,252069.534688,2001-01-03 20:01:09.535 -0200
0.128235,-0.065781,-1.246674,1.254977,252069.505248,2001-01-03 20:01:09.505 -0200
0.022430,-0.128036,-1.037033,1.045148,252069.475809,2001-01-03 20:01:09.476 -0200
0.052658,-0.146179,-1.055878,1.067248,252069.446370,2001-01-03 20:01:09.446 -0200
0.103516,-0.086578,-1.095306,1.103588,252069.416928,2001-01-03 20:01:09.417 -0200
0.108231,-0.113037,-1.009109,1.021172,252069.387485,2001-01-03 20:01:09.387 -0200
0.080414,-0.110870,-0.967102,0.976752,252069.358045,2001-01-03 20:01:09.358 -0200
0.134476,-0.121597,-0.930588,0.948084,252069.328607,2001-01-03 20:01:09.329 -0200
0.144379,-0.132797,-0.883301,0.904821,252069.299167,2001-01-03 20:01:09.299 -0200
0.126968,-0.130402,-0.821732,0.841646,252069.269728,2001-01-03 20:01:09.270 -0200
0.157898,-0.114243,-0.757126,0.781807,252069.240289,2001-01-03 20:01:09.240 -0200
0.172913,-0.099991,-0.777405,0.802655,252069.210851,2001-01-03 20:01:09.211 -0200
0.163589,-0.083801,-0.795776,0.816728,252069.181411,2001-01-03 20:01:09.181 -0200
0.170013,-0.068344,-0.801117,0.821805,252069.151973,2001-01-03 20:01:09.152 -0200
0.180298,-0.025284,-0.899918,0.918149,252069.122531,2001-01-03 20:01:09.123 -0200
0.176895,-0.000473,-1.030289,1.045364,252069.093089,2001-01-03 20:01:09.093 -0200
0.135178,-0.011536,-1.057770,1.066435,252069.063649,2001-01-03 20:01:09.064 -0200
0.077194,-0.054764,-0.995438,0.999927,252069.034210,2001-01-03 20:01:09.034 -0200
0.127029,-0.128006,-0.953400,0.970306,252069.004769,2001-01-03 20:01:09.005 -0200
