time,x,y,z
1.301,0.031,0.145,0.945
1.303,0.036,0.141,0.939
1.307,0.044,0.133,0.944
1.311,0.046,0.123,0.956
1.316,0.049,0.110,0.978
1.319,0.047,0.090,0.997
1.323,0.057,0.078,1.020
1.327,0.059,0.058,1.038
1.333,0.056,0.048,1.049
1.335,0.061,0.025,1.044
1.339,0.053,-0.004,1.030
1.343,0.050,-0.066,0.987
1.347,0.047,-0.033,0.977
1.351,0.070,0.000,0.983
1.355,0.111,-0.037,0.894
1.358,0.162,-0.049,0.780
1.362,0.196,-0.058,0.740
1.367,0.198,-0.043,0.789
1.371,0.183,-0.024,0.845
1.374,0.159,-0.021,0.879
1.378,0.138,-0.024,0.906
1.383,0.121,-0.038,0.931
1.387,0.102,-0.050,0.942
1.390,0.088,-0.052,0.960
1.394,0.070,-0.047,0.978
1.400,0.056,-0.033,1.003
1.402,0.047,-0.029,1.014
1.406,0.027,-0.020,1.035
1.410,0.010,-0.018,1.057
1.414,-0.005,-0.013,1.077
1.419,-0.015,-0.004,1.106
1.426,-0.031,0.011,1.141
1.426,-0.042,0.017,1.175
1.430,-0.057,0.022,1.208
1.435,-0.065,0.019,1.238
1.438,-0.072,0.010,1.259
1.442,-0.074,0.001,1.282
1.446,-0.075,-0.014,1.298
1.451,-0.071,-0.012,1.311
1.454,-0.061,-0.018,1.309
1.457,-0.045,-0.022,1.295
1.461,-0.027,-0.032,1.257
1.467,-0.009,-0.043,1.213
1.470,0.017,-0.062,1.165
1.476,0.038,-0.070,1.118
1.483,0.052,-0.073,1.073
1.484,0.067,-0.082,1.032
1.485,0.083,-0.077,0.996
1.489,0.089,-0.070,0.974
1.494,0.094,-0.063,0.952
1.501,0.097,-0.051,0.945
1.502,0.100,-0.043,0.943
1.505,0.090,-0.030,0.935
1.510,0.074,-0.022,0.931
1.513,0.059,-0.007,0.916
1.520,0.042,0.010,0.908
1.521,0.023,0.023,0.900
1.527,0.017,0.039,0.896
1.529,0.003,0.047,0.909
1.533,-0.002,0.056,0.927
1.537,-0.010,0.067,0.957
1.542,-0.014,0.074,0.981
1.544,-0.022,0.085,1.002
1.550,-0.036,0.086,1.019
1.552,-0.043,0.090,1.027
1.556,-0.055,0.087,1.029
1.561,-0.056,0.090,1.028
1.564,-0.061,0.088,1.020
1.569,-0.057,0.087,1.017
1.572,-0.051,0.090,1.006
1.576,-0.050,0.086,0.991
1.580,-0.042,0.086,0.983
1.587,-0.033,0.077,0.978
1.589,-0.019,0.060,0.976
1.593,0.002,0.049,0.965
1.596,0.016,0.033,0.962
1.601,0.035,0.014,0.956
1.604,0.046,0.004,0.944
1.608,0.059,-0.011,0.938
1.612,0.071,-0.027,0.925
1.619,0.078,-0.055,0.913
1.622,0.098,-0.122,0.907
1.624,0.135,-0.149,0.929
1.630,0.163,-0.103,0.958
1.636,0.144,-0.061,0.984
1.637,0.101,-0.029,0.997
1.639,0.045,0.000,0.994
1.644,0.010,0.030,0.998
1.648,-0.012,0.061,0.994
1.651,-0.025,0.083,0.999
1.655,-0.029,0.081,1.007
1.660,-0.046,0.092,1.008
1.663,-0.068,0.102,1.016
1.667,-0.084,0.131,1.024
1.671,-0.093,0.155,1.026
1.675,-0.102,0.166,1.019
1.679,-0.100,0.165,1.010
1.685,-0.091,0.168,1.001
1.687,-0.090,0.165,0.986
1.691,-0.083,0.165,0.974
1.694,-0.075,0.157,0.960
1.702,-0.067,0.151,0.952
1.702,-0.058,0.143,0.939
1.708,-0.054,0.142,0.926
1.710,-0.043,0.143,0.916
1.715,-0.040,0.139,0.917
1.718,-0.031,0.140,0.908
1.723,-0.022,0.131,0.900
1.726,-0.019,0.128,0.892
1.730,-0.004,0.121,0.890
1.734,0.004,0.112,0.885
1.738,0.015,0.108,0.888
1.742,0.019,0.101,0.879
1.746,0.023,0.090,0.871
1.751,0.028,0.086,0.872
1.756,0.030,0.076,0.872
1.758,0.037,0.050,0.918
1.762,0.042,0.031,1.000
1.768,0.043,0.027,1.063
1.770,0.045,0.026,1.034
1.774,0.042,0.038,0.990
1.778,0.021,0.044,0.980
1.785,0.009,0.056,0.997
1.797,0.008,0.074,1.015
1.797,0.008,0.093,1.019
1.798,0.000,0.110,1.005
1.799,-0.013,0.123,0.987
1.802,-0.022,0.129,0.973
1.806,-0.021,0.138,0.964
1.809,-0.016,0.142,0.964
1.813,-0.008,0.145,0.971
1.819,-0.007,0.145,0.967
1.822,-0.000,0.141,0.965
1.825,0.001,0.140,0.969
1.829,0.008,0.135,0.964
1.840,0.017,0.130,0.965
1.840,0.021,0.123,0.964
1.841,0.029,0.124,0.970
1.845,0.035,0.115,0.969
1.851,0.035,0.109,0.966
1.854,0.041,0.106,0.965
1.857,0.043,0.103,0.962
1.861,0.041,0.101,0.962
1.865,0.044,0.103,0.960
1.869,0.042,0.100,0.957
1.873,0.043,0.108,0.956
1.877,0.043,0.103,0.953
1.881,0.035,0.109,0.956
1.886,0.034,0.112,0.960
1.889,0.025,0.116,0.963
1.893,0.026,0.122,0.971
1.897,0.018,0.125,0.976
1.901,0.011,0.130,0.985
1.904,0.003,0.129,0.986
1.908,-0.006,0.132,0.995
1.912,-0.011,0.136,1.001
1.921,-0.012,0.137,1.009
1.922,-0.010,0.145,1.012
1.924,-0.013,0.139,1.020
1.928,-0.010,0.137,1.019
1.940,-0.006,0.133,1.018
1.940,-0.012,0.132,1.016
1.941,-0.010,0.128,1.006
1.944,-0.009,0.123,1.004
1.948,-0.002,0.124,1.009
1.952,-0.005,0.121,1.009
1.956,-0.000,0.118,1.017
1.960,0.003,0.117,1.021
1.964,0.010,0.112,1.028
1.969,0.016,0.114,1.029
1.972,0.016,0.109,1.025
1.976,0.023,0.113,1.021
1.985,0.023,0.112,1.016
1.985,0.029,0.117,1.002
1.992,0.031,0.118,0.989
1.992,0.033,0.127,0.986
1.995,0.034,0.136,0.975
2.004,0.035,0.140,0.967
2.005,0.038,0.146,0.957
2.007,0.047,0.144,0.949
2.011,0.050,0.148,0.942
2.028,0.054,0.150,0.936
2.029,0.051,0.146,0.933
2.029,0.058,0.149,0.932
2.029,0.056,0.143,0.928
2.040,0.061,0.140,0.938
2.040,0.063,0.135,0.944
2.040,0.058,0.134,0.953
2.043,0.052,0.131,0.959
2.047,0.056,0.134,0.967
2.051,0.050,0.131,0.966
2.055,0.056,0.128,0.979
2.059,0.065,0.120,0.988
2.063,0.071,0.114,1.001
2.074,0.077,0.109,1.003
2.074,0.078,0.111,1.006
2.075,0.079,0.111,1.005
2.079,0.080,0.108,1.010
2.085,0.082,0.106,1.012
2.087,0.079,0.105,1.014
2.091,0.075,0.106,1.017
2.094,0.078,0.106,1.026
2.099,0.073,0.108,1.029
2.102,0.076,0.104,1.031
2.106,0.074,0.109,1.037
2.114,0.068,0.115,1.044
2.115,0.065,0.117,1.051
2.121,0.067,0.118,1.057
2.124,0.066,0.118,1.058
2.130,0.066,0.119,1.062
2.132,0.062,0.117,1.057
2.144,0.065,0.119,1.060
2.145,0.063,0.115,1.052
2.145,0.065,0.113,1.059
2.149,0.064,0.112,1.059
