time,x,y,z
1.292,0.006,0.069,0.992
1.296,0.011,0.066,0.995
1.300,0.013,0.067,1.004
1.305,0.015,0.068,1.007
1.308,0.018,0.065,1.015
1.312,0.021,0.062,1.023
1.316,0.027,0.061,1.027
1.327,0.022,0.064,1.035
1.328,0.029,0.058,1.035
1.328,0.032,0.060,1.041
1.331,0.028,0.057,1.037
1.365,0.031,0.058,1.036
1.366,0.035,0.053,1.041
1.367,0.031,0.057,1.036
1.367,0.035,0.057,1.029
1.368,0.036,0.054,1.033
1.368,0.032,0.049,1.024
1.369,0.036,0.052,1.021
1.369,0.032,0.051,1.015
1.369,0.030,0.052,1.009
1.372,0.028,0.052,1.009
1.375,0.029,0.049,1.008
1.379,0.023,0.046,1.010
1.383,0.021,0.041,1.012
1.387,0.020,0.038,1.019
1.391,0.013,0.033,1.022
1.395,0.007,0.030,1.037
1.400,0.002,0.025,1.051
1.404,0.003,0.021,1.061
1.407,0.001,0.013,1.072
1.411,-0.002,0.008,1.081
1.415,-0.004,0.009,1.092
1.421,-0.011,0.014,1.093
1.423,-0.015,0.015,1.097
1.427,-0.015,0.012,1.093
1.431,-0.016,0.013,1.083
1.444,-0.022,0.016,1.071
1.445,-0.024,0.023,1.060
1.446,-0.024,0.024,1.041
1.447,-0.026,0.028,1.025
1.450,-0.027,0.032,1.010
1.488,-0.023,0.032,0.990
1.488,-0.020,0.037,0.976
1.489,-0.021,0.041,0.959
1.489,-0.022,0.044,0.945
1.490,-0.024,0.041,0.929
1.490,-0.026,0.045,0.924
1.490,-0.025,0.047,0.917
1.491,-0.030,0.043,0.909
1.491,-0.032,0.045,0.908
1.491,-0.032,0.046,0.906
1.494,-0.034,0.045,0.906
1.498,-0.038,0.048,0.910
1.504,-0.041,0.046,0.907
1.506,-0.038,0.048,0.907
1.510,-0.039,0.044,0.905
1.514,-0.043,0.049,0.908
1.521,-0.036,0.047,0.915
1.522,-0.040,0.043,0.917
1.526,-0.036,0.040,0.923
1.529,-0.032,0.032,0.931
1.533,-0.030,0.032,0.929
1.545,-0.029,0.027,0.935
1.546,-0.028,0.029,0.941
1.546,-0.027,0.025,0.945
1.549,-0.029,0.021,0.948
1.582,-0.022,0.023,0.954
1.583,-0.021,0.022,0.956
1.583,-0.024,0.017,0.961
1.584,-0.019,0.016,0.970
1.584,-0.014,0.013,0.971
1.584,-0.011,0.011,0.969
1.585,-0.008,0.010,0.967
1.585,-0.005,0.009,0.962
1.602,-0.010,0.014,0.960
1.603,0.002,0.012,0.960
1.604,-0.002,0.013,0.960
1.604,-0.003,0.011,0.960
1.604,-0.001,0.013,0.956
1.605,0.000,0.012,0.959
1.608,0.002,0.015,0.956
1.612,0.002,0.011,0.962
1.616,0.001,0.011,0.963
1.629,-0.008,0.016,0.968
1.630,-0.008,0.018,0.971
1.631,-0.007,0.015,0.976
1.632,-0.015,0.018,0.983
1.667,-0.018,0.014,0.989
1.668,-0.020,0.016,0.996
1.669,-0.026,0.018,1.002
1.669,-0.023,0.010,1.007
1.670,-0.024,0.012,1.009
1.670,-0.026,0.016,1.015
1.671,-0.027,0.017,1.016
1.671,-0.028,0.021,1.016
1.671,-0.038,0.023,1.019
1.672,-0.045,0.022,1.019
1.675,-0.051,0.022,1.023
1.680,-0.055,0.027,1.021
1.683,-0.052,0.026,1.026
1.688,-0.051,0.030,1.030
1.691,-0.048,0.031,1.027
1.695,-0.053,0.025,1.028
1.699,-0.047,0.026,1.022
1.705,-0.047,0.027,1.019
